frame,u,v,conf,cls,w_px,h_px,angle_deg,colour_b,colour_g,colour_r
1,942.0945739746094,26.330989837646484,0.6470425724983215,10,25.63243293762207,54.2078971862793,2.9537611969055,74.5,63.0,57.5
2,942.3730163574219,24.11742401123047,0.25383347272872925,10,23.041847229003906,46.4898681640625,3.26435038903349,193.5,187.0,180.0
3,942.593994140625,20.218364715576172,0.4230911433696747,10,23.767541885375977,40.5821418762207,3.3647669764373713,226.0,222.0,212.0
5,942.6720581054688,14.01856803894043,0.42928174138069153,10,25.44628143310547,27.519075393676758,2.3227876810494874,222.0,222.5,214.0
6,942.3934326171875,10.086278915405273,0.2816523015499115,9,25.880197525024414,20.11394500732422,1.7116731536486987,217.0,222.0,215.0
53,871.7407531738281,13.058065414428711,0.3835301399230957,9,24.976734161376953,25.467926025390625,0.968132677463881,45.0,32.0,87.0
54,871.4336242675781,17.453472137451172,0.3638450503349304,10,24.125389099121094,34.1386833190918,3.1472237438251724,48.0,35.0,85.0
57,870.8670043945312,32.33039474487305,0.40102696418762207,9,23.15119743347168,56.539283752441406,1.3895827767320534,50.0,39.0,35.0
58,870.8482666015625,42.342430114746094,0.3118751049041748,9,22.7861270904541,57.7105827331543,1.8070471404544064,50.0,40.0,35.0
60,869.2315979003906,62.04991149902344,0.518900454044342,9,24.23494529724121,58.336605072021484,1.8736839601009316,50.0,40.0,36.0
61,869.3677368164062,71.6460189819336,0.4543849229812622,10,24.74393081665039,57.44270706176758,4.307113021741809,49.0,42.5,36.5
62,868.9224853515625,80.9398193359375,0.3560437858104706,9,24.751779556274414,57.734004974365234,3.890994845616184,48.0,40.0,36.0
63,868.1282043457031,91.54989624023438,0.4273589253425598,10,25.0605525970459,57.22889709472656,2.731701288261219,50.0,42.0,36.5
65,867.0382995605469,109.61434936523438,0.5265926122665405,10,24.33852195739746,56.12755584716797,2.22770867303856,43.0,32.0,32.0
68,866.2865905761719,140.69358825683594,0.5735048651695251,10,24.576492309570312,58.475948333740234,1.1080259440014375,44.0,31.0,30.0
70,866.1063537597656,161.80368041992188,0.4219348728656769,9,24.743122100830078,56.63333511352539,2.7459061607441417,44.0,33.0,31.0
71,865.2349243164062,172.57469177246094,0.4932521879673004,9,23.819488525390625,57.30646896362305,2.2318018773421016,52.0,40.0,35.0
72,864.74560546875,184.20376586914062,0.44767606258392334,10,23.520322799682617,55.293453216552734,2.6724137521616274,53.0,42.0,37.0
73,864.7970275878906,193.89256286621094,0.6523635983467102,10,24.467571258544922,56.82065963745117,2.84045945763239,47.0,37.0,35.0
74,864.196533203125,204.5318603515625,0.4596874415874481,10,23.111740112304688,56.67657470703125,2.249515119180883,45.0,36.0,34.0
75,864.2715759277344,215.4149169921875,0.3403823971748352,10,23.845457077026367,55.75341033935547,2.1114565054874155,44.0,34.0,34.0
76,864.18798828125,226.4198455810547,0.6421986818313599,10,24.905441284179688,56.465911865234375,2.8225154834657085,43.5,34.5,33.0
77,863.2978515625,236.84727478027344,0.4521392285823822,10,24.72603988647461,56.3485107421875,2.8717769421939563,44.0,34.0,33.0
78,863.3348999023438,248.08853149414062,0.4215576648712158,10,24.24357032775879,54.755393981933594,3.8001268626719806,43.0,33.0,33.0
79,862.8119201660156,259.2615966796875,0.3799992501735687,10,24.471820831298828,55.766510009765625,3.7566860057770532,43.0,33.0,32.0
80,862.3732299804688,270.32672119140625,0.6003842353820801,9,24.402023315429688,55.75299835205078,3.76743629664383,45.0,35.0,32.0
81,861.7475280761719,282.12249755859375,0.450168639421463,10,23.1851863861084,54.60649108886719,2.630496027451613,51.0,41.0,34.0
82,861.3833923339844,292.9516296386719,0.5069177746772766,9,24.313709259033203,55.414363861083984,2.8587575344188543,46.0,36.0,37.0
83,861.503662109375,304.2535400390625,0.5996510982513428,9,23.795509338378906,54.77367401123047,2.1845305649832665,43.5,34.0,35.0
84,861.0644226074219,315.273681640625,0.6502261161804199,9,24.52541732788086,53.826873779296875,2.8277725946925028,44.0,35.0,34.0
