frame,timestamp,t_sec,lat,lon,rel_alt,abs_alt,yaw,pitch,roll,focal_len,dzoom,gsd
1,2024-11-24 17:38:03.576,0.0,48.267013,25.914562,102.229,426.185,-65.8,-89.9,0.0,24.0,1.0,0.07986640625000001
2,2024-11-24 17:38:03.612,0.036,48.267013,25.914562,102.229,426.185,-65.8,-89.9,0.0,24.0,1.0,0.07986640625000001
3,2024-11-24 17:38:03.656,0.08,48.267013,25.914562,102.229,426.185,-65.8,-89.9,0.0,24.0,1.0,0.07986640625000001
4,2024-11-24 17:38:03.675,0.099,48.267013,25.914562,102.231,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986796874999999
5,2024-11-24 17:38:03.725,0.149,48.267013,25.914562,102.231,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986796874999999
6,2024-11-24 17:38:03.740,0.164,48.267013,25.914562,102.231,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986796874999999
7,2024-11-24 17:38:03.774,0.198,48.267013,25.914562,102.231,426.187,-65.8,-90.0,0.0,24.0,1.0,0.07986796874999999
8,2024-11-24 17:38:03.824,0.248,48.267013,25.914562,102.231,426.187,-65.8,-90.0,0.0,24.0,1.0,0.07986796874999999
9,2024-11-24 17:38:03.840,0.264,48.267013,25.914562,102.231,426.187,-65.8,-90.0,0.0,24.0,1.0,0.07986796874999999
10,2024-11-24 17:38:03.874,0.298,48.267013,25.914562,102.231,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986796874999999
11,2024-11-24 17:38:03.911,0.335,48.267013,25.914562,102.231,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986796874999999
12,2024-11-24 17:38:03.941,0.365,48.267013,25.914562,102.231,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986796874999999
13,2024-11-24 17:38:03.974,0.398,48.267013,25.914562,102.231,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986796874999999
14,2024-11-24 17:38:04.008,0.432,48.267013,25.914562,102.231,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986796874999999
15,2024-11-24 17:38:04.043,0.467,48.267013,25.914562,102.231,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986796874999999
16,2024-11-24 17:38:04.074,0.498,48.267013,25.914562,102.233,426.189,-65.8,-90.0,0.0,24.0,1.0,0.07986953125
17,2024-11-24 17:38:04.109,0.533,48.267013,25.914562,102.233,426.189,-65.8,-90.0,0.0,24.0,1.0,0.07986953125
18,2024-11-24 17:38:04.141,0.565,48.267013,25.914562,102.233,426.189,-65.8,-90.0,0.0,24.0,1.0,0.07986953125
19,2024-11-24 17:38:04.174,0.598,48.267013,25.914562,102.232,426.189,-65.8,-89.9,0.0,24.0,1.0,0.07986875
20,2024-11-24 17:38:04.207,0.631,48.267013,25.914562,102.232,426.189,-65.8,-89.9,0.0,24.0,1.0,0.07986875
21,2024-11-24 17:38:04.241,0.665,48.267013,25.914562,102.232,426.189,-65.8,-89.9,0.0,24.0,1.0,0.07986875
22,2024-11-24 17:38:04.275,0.699,48.267013,25.914562,102.232,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986875
23,2024-11-24 17:38:04.309,0.733,48.267013,25.914562,102.232,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986875
24,2024-11-24 17:38:04.341,0.765,48.267013,25.914562,102.232,426.188,-65.8,-89.9,0.0,24.0,1.0,0.07986875
25,2024-11-24 17:38:04.375,0.799,48.267013,25.914562,102.234,426.19,-65.8,-89.9,0.0,24.0,1.0,0.0798703125
26,2024-11-24 17:38:04.409,0.833,48.267013,25.914562,102.234,426.19,-65.8,-89.9,0.0,24.0,1.0,0.0798703125
27,2024-11-24 17:38:04.442,0.866,48.267013,25.914562,102.234,426.19,-65.8,-89.9,0.0,24.0,1.0,0.0798703125
28,2024-11-24 17:38:04.474,0.898,48.267013,25.914562,102.232,426.188,-65.8,-90.0,0.0,24.0,1.0,0.07986875
29,2024-11-24 17:38:04.509,0.933,48.267013,25.914562,102.232,426.188,-65.8,-90.0,0.0,24.0,1.0,0.07986875
30,2024-11-24 17:38:04.542,0.966,48.267013,25.914562,102.232,426.188,-65.8,-90.0,0.0,24.0,1.0,0.07986875
31,2024-11-24 17:38:04.578,1.002,48.267013,25.914562,102.233,426.189,-65.8,-90.0,0.0,24.0,1.0,0.07986953125
32,2024-11-24 17:38:04.609,1.033,48.267013,25.914562,102.233,426.189,-65.8,-90.0,0.0,24.0,1.0,0.07986953125
33,2024-11-24 17:38:04.641,1.065,48.267013,25.914562,102.233,426.189,-65.8,-90.0,0.0,24.0,1.0,0.07986953125
34,2024-11-24 17:38:04.674,1.098,48.267013,25.914562,102.233,426.19,-65.8,-89.9,0.0,24.0,1.0,0.07986953125
35,2024-11-24 17:38:04.709,1.133,48.267013,25.914562,102.233,426.19,-65.8,-89.9,0.0,24.0,1.0,0.07986953125
36,2024-11-24 17:38:04.741,1.165,48.267013,25.914562,102.233,426.19,-65.8,-89.9,0.0,24.0,1.0,0.07986953125
37,2024-11-24 17:38:04.776,1.2,48.267013,25.914561,102.232,426.189,-65.8,-90.0,0.0,24.0,1.0,0.07986875
38,2024-11-24 17:38:04.809,1.233,48.267013,25.914561,102.232,426.189,-65.8,-90.0,0.0,24.0,1.0,0.07986875
39,2024-11-24 17:38:04.842,1.266,48.267013,25.914561,102.232,426.189,-65.8,-90.0,0.0,24.0,1.0,0.07986875
40,2024-11-24 17:38:04.875,1.299,48.267013,25.914561,102.229,426.185,-65.8,-89.9,0.0,24.0,1.0,0.07986640625000001
41,2024-11-24 17:38:04.909,1.333,48.267013,25.914561,102.229,426.185,-65.8,-89.9,0.0,24.0,1.0,0.07986640625000001
42,2024-11-24 17:38:04.942,1.366,48.267013,25.914561,102.229,426.185,-65.8,-89.9,0.0,24.0,1.0,0.07986640625000001
43,2024-11-24 17:38:04.976,1.4,48.267013,25.914561,102.225,426.181,-65.8,-89.9,0.0,24.0,1.0,0.07986328124999999
44,2024-11-24 17:38:05.008,1.432,48.267013,25.914561,102.225,426.181,-65.8,-89.9,0.0,24.0,1.0,0.07986328124999999
45,2024-11-24 17:38:05.042,1.466,48.267013,25.914561,102.225,426.181,-65.8,-89.9,0.0,24.0,1.0,0.07986328124999999
46,2024-11-24 17:38:05.076,1.5,48.267013,25.914561,102.228,426.184,-65.8,-89.9,0.0,24.0,1.0,0.079865625
47,2024-11-24 17:38:05.109,1.533,48.267013,25.914561,102.228,426.184,-65.8,-89.9,0.0,24.0,1.0,0.079865625
48,2024-11-24 17:38:05.142,1.566,48.267013,25.914561,102.228,426.184,-65.8,-89.9,0.0,24.0,1.0,0.079865625
49,2024-11-24 17:38:05.176,1.6,48.267014,25.91456,102.223,426.18,-65.9,-89.9,0.0,24.0,1.0,0.07986171874999999
50,2024-11-24 17:38:05.210,1.634,48.267014,25.91456,102.223,426.18,-65.9,-89.9,0.0,24.0,1.0,0.07986171874999999
51,2024-11-24 17:38:05.242,1.666,48.267014,25.91456,102.223,426.18,-65.9,-89.9,0.0,24.0,1.0,0.07986171874999999
52,2024-11-24 17:38:05.275,1.699,48.267014,25.914559,102.218,426.175,-65.8,-90.0,0.0,24.0,1.0,0.0798578125
53,2024-11-24 17:38:05.308,1.732,48.267014,25.914559,102.218,426.175,-65.8,-90.0,0.0,24.0,1.0,0.0798578125
54,2024-11-24 17:38:05.341,1.765,48.267014,25.914559,102.218,426.175,-65.8,-90.0,0.0,24.0,1.0,0.0798578125
55,2024-11-24 17:38:05.375,1.799,48.267015,25.914556,102.208,426.164,-65.8,-89.9,0.0,24.0,1.0,0.07985
56,2024-11-24 17:38:05.408,1.832,48.267015,25.914556,102.208,426.164,-65.8,-89.9,0.0,24.0,1.0,0.07985
57,2024-11-24 17:38:05.444,1.868,48.267015,25.914556,102.208,426.164,-65.8,-89.9,0.0,24.0,1.0,0.07985
58,2024-11-24 17:38:05.476,1.9,48.267016,25.914554,102.203,426.159,-65.8,-89.9,0.0,24.0,1.0,0.07984609375000001
59,2024-11-24 17:38:05.509,1.933,48.267016,25.914554,102.203,426.159,-65.8,-89.9,0.0,24.0,1.0,0.07984609375000001
60,2024-11-24 17:38:05.542,1.966,48.267016,25.914554,102.203,426.159,-65.8,-89.9,0.0,24.0,1.0,0.07984609375000001
61,2024-11-24 17:38:05.576,2.0,48.267017,25.91455,102.195,426.152,-65.8,-90.0,0.0,24.0,1.0,0.07983984375
62,2024-11-24 17:38:05.608,2.032,48.267017,25.91455,102.195,426.152,-65.8,-90.0,0.0,24.0,1.0,0.07983984375
63,2024-11-24 17:38:05.642,2.066,48.267017,25.91455,102.195,426.152,-65.8,-90.0,0.0,24.0,1.0,0.07983984375
64,2024-11-24 17:38:05.676,2.1,48.267018,25.914545,102.188,426.144,-65.8,-89.9,0.0,24.0,1.0,0.079834375
65,2024-11-24 17:38:05.709,2.133,48.267018,25.914545,102.188,426.144,-65.8,-89.9,0.0,24.0,1.0,0.079834375
